algoritmo;n;tipo;dominio;muestra;tiempo_ms;memoria_kb;correcto
strassen;1024;dispersa;D0;b;57869.8;59748;1
naive;1024;dispersa;D0;c;821.068;27296;1
strassen;1024;dispersa;D0;c;58480.6;59528;1
naive;1024;dispersa;D10;a;829.022;27296;1
strassen;1024;dispersa;D10;a;57990.1;59748;1
naive;1024;dispersa;D10;b;814.431;27296;1
strassen;1024;dispersa;D10;b;58418.3;59528;1
naive;1024;dispersa;D10;c;854.035;27296;1
strassen;1024;dispersa;D10;c;57970.4;59940;1
naive;1024;diagonal;D0;a;837.903;27076;1
strassen;1024;diagonal;D0;a;57831.6;59748;1
naive;1024;diagonal;D0;b;814.49;27084;1
strassen;1024;diagonal;D0;b;57845.6;59720;1
naive;1024;diagonal;D0;c;819.166;27084;1
strassen;1024;diagonal;D0;c;58307.7;59748;1
naive;1024;diagonal;D10;a;840.979;27296;1
strassen;1024;diagonal;D10;a;58065.4;59528;1
naive;1024;diagonal;D10;b;822.82;27076;1
strassen;1024;diagonal;D10;b;57963.7;59748;1
naive;1024;diagonal;D10;c;835.092;27076;1
strassen;1024;diagonal;D10;c;57994.7;59336;1
naive;1024;densa;D0;a;821.755;27296;1
strassen;1024;densa;D0;a;57944.6;59748;1
naive;1024;densa;D0;b;818.874;27296;1
strassen;1024;densa;D0;b;58429.5;59720;1
naive;1024;densa;D0;c;839.149;27296;1
strassen;1024;densa;D0;c;58781.4;59748;1
naive;1024;densa;D10;a;840.114;27296;1
strassen;1024;densa;D10;a;58043.7;59528;1
naive;1024;densa;D10;b;820.648;27296;1
strassen;1024;densa;D10;b;58155.8;59728;1
naive;1024;densa;D10;c;817.769;27076;1
strassen;1024;densa;D10;c;57883.5;59536;1
